Member_number,Date,productId,items,productName,price,Category,TotalPrice,Month,Weekday
2632,2015-03-02,2,2,whole milk,1.8,Dairy,3.6,3,Monday
1377,2015-03-14,31,2,curd cheese,9.2,Dairy,18.4,3,Saturday
4162,2015-12-22,32,2,red/blush wine,12.2,Beverages,24.4,12,Tuesday
2270,2015-07-01,19,2,sausage,3.1,Fresh Food,6.2,7,Wednesday
4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food,15.6,11,Tuesday
3811,2015-04-14,32,1,red/blush wine,12.2,Beverages,12.2,4,Tuesday
4766,2015-09-29,2,3,whole milk,1.8,Dairy,5.4,9,Tuesday
2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food,11.0,4,Sunday
3860,2015-05-05,2,2,whole milk,1.8,Dairy,3.6,5,Tuesday
4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food,6.0,5,Tuesday
1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food,1.6,7,Wednesday
4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food,3.0,7,Wednesday
4750,2015-09-21,34,2,flour,2.1,Pantry Staples,4.2,9,Monday
1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets,3.5999999999999996,12,Thursday
1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food,29.099999999999998,9,Wednesday
3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets,23.0,1,Saturday
3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food,5.4,12,Sunday
1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food,1.8,9,Friday
2022,2015-03-04,37,2,herbs,6.5,Fresh Food,13.0,3,Wednesday
2505,2015-11-30,17,1,bottled water,0.5,Beverages,0.5,11,Monday
4851,2015-12-20,19,1,sausage,3.1,Fresh Food,3.1,12,Sunday
4293,2015-08-04,27,2,coffee,8.5,Beverages,17.0,8,Tuesday
2775,2015-11-06,23,3,pork,7.2,Fresh Food,21.6,11,Friday
3693,2015-02-18,26,1,berries,10.8,Fresh Food,10.8,2,Wednesday
1202,2015-07-22,38,2,soda,0.8,Beverages,1.6,7,Wednesday
3699,2015-08-23,26,1,berries,10.8,Fresh Food,10.8,8,Sunday
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,2.1,4,Wednesday
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,1.5,1,Monday
4010,2015-12-29,23,1,pork,7.2,Fresh Food,7.2,12,Tuesday
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,16.5,10,Tuesday
3746,2015-08-17,40,1,grapes,9.4,Fresh Food,9.4,8,Monday
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,3.1,5,Sunday
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,7.2,7,Saturday
2555,2015-12-23,2,3,whole milk,1.8,Dairy,5.4,12,Wednesday
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,1.5,12,Saturday
3886,2015-09-11,38,1,soda,0.8,Beverages,0.8,9,Friday
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,9.3,3,Friday
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,16.5,6,Thursday
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,9.3,12,Tuesday
1143,2015-04-25,38,1,soda,0.8,Beverages,0.8,4,Saturday
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,7,Wednesday
3337,2015-05-14,8,3,beef,19.5,Fresh Food,58.5,5,Thursday
4931,2015-05-04,2,1,whole milk,1.8,Dairy,1.8,5,Monday
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,19.200000000000003,10,Saturday
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,7.8,4,Friday
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,11.0,6,Thursday
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,10,Friday
2990,2015-05-23,2,2,whole milk,1.8,Dairy,3.6,5,Saturday
2426,2015-06-05,26,1,berries,10.8,Fresh Food,10.8,6,Friday
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,4.5,11,Saturday
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,7.8,9,Friday
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,24.6,5,Monday
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,12.3,3,Thursday
1306,2015-06-23,2,3,whole milk,1.8,Dairy,5.4,6,Tuesday
1024,2015-08-10,42,3,fish,10.2,Fresh Food,30.599999999999998,8,Monday
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,11.0,7,Thursday
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,3.5,6,Monday
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,9.3,5,Friday
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,1.6,6,Sunday
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,3.5999999999999996,5,Thursday
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,16.5,1,Wednesday
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,12.5,8,Saturday
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,15.600000000000001,6,Wednesday
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,3.1,9,Friday
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,27.599999999999998,11,Wednesday
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,11.0,9,Tuesday
2489,2015-05-04,2,3,whole milk,1.8,Dairy,5.4,5,Monday
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,3.2,6,Saturday
4092,2015-09-30,26,1,berries,10.8,Fresh Food,10.8,9,Wednesday
3221,2015-01-13,45,2,curd,9.8,Dairy,19.6,1,Tuesday
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,23.4,9,Sunday
2581,2015-08-22,38,3,soda,0.8,Beverages,2.4000000000000004,8,Saturday
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,2,Wednesday
4760,2015-02-22,25,3,canned beer,1.1,Beverages,3.3000000000000003,2,Sunday
3649,2015-01-16,25,3,canned beer,1.1,Beverages,3.3000000000000003,1,Friday
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,5.5,11,Thursday
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,8,Wednesday
4106,2015-08-25,2,3,whole milk,1.8,Dairy,5.4,8,Tuesday
4338,2015-06-24,2,2,whole milk,1.8,Dairy,3.6,6,Wednesday
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,3.0,11,Friday
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,5.5,3,Tuesday
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,16.5,1,Wednesday
3928,2015-07-18,16,3,butter milk,6.1,Dairy,18.299999999999997,7,Saturday
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,36.900000000000006,9,Wednesday
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,3.1,2,Sunday
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,0.8,6,Monday
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,6.2,6,Tuesday
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,3,Monday
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,28.200000000000003,2,Wednesday
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,5.4,3,Saturday
2288,2015-05-31,27,1,coffee,8.5,Beverages,8.5,5,Sunday
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,7.199999999999999,6,Tuesday
4554,2015-08-27,2,3,whole milk,1.8,Dairy,5.4,8,Thursday
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,7.8,3,Thursday
2999,2015-04-17,8,1,beef,19.5,Fresh Food,19.5,4,Friday
2614,2015-06-25,2,3,whole milk,1.8,Dairy,5.4,6,Thursday
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,16.5,6,Friday
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,23.4,10,Sunday
2587,2015-05-07,25,2,canned beer,1.1,Beverages,2.2,5,Thursday
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,13.0,6,Wednesday
1923,2015-02-14,49,2,beverages,1.1,Beverages,2.2,2,Saturday
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,12.3,2,Thursday
1514,2015-08-24,2,2,whole milk,1.8,Dairy,3.6,8,Monday
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,6.5,6,Monday
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,0.8,12,Friday
2794,2015-07-18,29,2,ham,15.2,Fresh Food,30.4,7,Saturday
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,1.6,4,Thursday
2238,2015-03-09,45,2,curd,9.8,Dairy,19.6,3,Monday
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,5.4,1,Saturday
3724,2015-11-26,45,2,curd,9.8,Dairy,19.6,11,Thursday
1152,2015-03-05,2,3,whole milk,1.8,Dairy,5.4,3,Thursday
4559,2015-03-16,2,1,whole milk,1.8,Dairy,1.8,3,Monday
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,3.4499999999999997,2,Friday
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,6.2,4,Wednesday
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,0.8,4,Friday
2206,2015-10-17,29,1,ham,15.2,Fresh Food,15.2,10,Saturday
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,0.8,4,Monday
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,11,Tuesday
3296,2015-08-17,38,2,soda,0.8,Beverages,1.6,8,Monday
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,6.5,2,Thursday
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,5.5,7,Tuesday
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,8,Friday
2449,2015-07-08,45,3,curd,9.8,Dairy,29.400000000000002,7,Wednesday
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,16.5,4,Sunday
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,1.6,7,Friday
4187,2015-05-09,52,3,dog food,12.6,Pet Care,37.8,5,Saturday
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,5.2,4,Monday
3427,2015-04-28,45,2,curd,9.8,Dairy,19.6,4,Tuesday
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,5.5,2,Friday
3390,2015-11-14,38,1,soda,0.8,Beverages,0.8,11,Saturday
4787,2015-08-01,8,3,beef,19.5,Fresh Food,58.5,8,Saturday
3310,2015-01-17,25,2,canned beer,1.1,Beverages,2.2,1,Saturday
1782,2015-10-10,23,3,pork,7.2,Fresh Food,21.6,10,Saturday
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,4,Sunday
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,6.2,1,Wednesday
4249,2015-09-13,25,1,canned beer,1.1,Beverages,1.1,9,Sunday
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,18.8,6,Saturday
4090,2015-02-26,45,2,curd,9.8,Dairy,19.6,2,Thursday
3060,2015-07-05,25,1,canned beer,1.1,Beverages,1.1,7,Sunday
3768,2015-10-07,2,2,whole milk,1.8,Dairy,3.6,10,Wednesday
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,1,Wednesday
1360,2015-10-23,23,3,pork,7.2,Fresh Food,21.6,10,Friday
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,3.0,10,Thursday
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,10.5,11,Wednesday
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,6,Sunday
2448,2015-07-12,11,1,butter,3.2,Dairy,3.2,7,Sunday
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,3.5,9,Thursday
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,3.1,6,Saturday
2270,2015-08-11,2,3,whole milk,1.8,Dairy,5.4,8,Tuesday
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,3.1,7,Tuesday
1482,2015-11-22,49,2,beverages,1.1,Beverages,2.2,11,Sunday
4720,2015-02-22,49,2,beverages,1.1,Beverages,2.2,2,Sunday
1344,2015-09-04,17,2,bottled water,0.5,Beverages,1.0,9,Friday
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,9.600000000000001,10,Sunday
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,11.8,5,Tuesday
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,3.1,7,Friday
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,3.2,12,Thursday
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,9.3,11,Sunday
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,2.4,1,Tuesday
4389,2015-04-13,56,2,white wine,14.2,Beverages,28.4,4,Monday
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,3.1,12,Friday
4262,2015-10-16,57,2,meat,8.5,Fresh Food,17.0,10,Friday
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,11.0,4,Tuesday
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,5.4,1,Tuesday
2460,2015-09-28,25,3,canned beer,1.1,Beverages,3.3000000000000003,9,Monday
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,23.4,11,Sunday
2267,2015-07-03,57,3,meat,8.5,Fresh Food,25.5,7,Friday
4891,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,9,Saturday
3962,2015-09-20,19,3,sausage,3.1,Fresh Food,9.3,9,Sunday
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,11.0,7,Saturday
2914,2015-11-30,57,1,meat,8.5,Fresh Food,8.5,11,Monday
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,3.6,5,Tuesday
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,3.6,8,Saturday
3808,2015-08-18,2,2,whole milk,1.8,Dairy,3.6,8,Tuesday
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,4.5,1,Wednesday
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,4.5,6,Friday
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,0.8,4,Friday
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,1.5,4,Saturday
2620,2015-12-14,19,3,sausage,3.1,Fresh Food,9.3,12,Monday
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,11.0,10,Tuesday
1226,2015-04-13,59,1,hard cheese,4.5,Dairy,4.5,4,Monday
1395,2015-03-07,60,3,cream cheese,6.3,Dairy,18.9,3,Saturday
2465,2015-06-07,30,3,turkey,12.5,Fresh Food,37.5,6,Sunday
3572,2015-07-09,23,3,pork,7.2,Fresh Food,21.6,7,Thursday
4387,2015-05-08,2,2,whole milk,1.8,Dairy,3.6,5,Friday
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,3,Friday
1181,2015-11-16,19,3,sausage,3.1,Fresh Food,9.3,11,Monday
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,5.4,5,Monday
2794,2015-09-16,61,3,liquor,8.5,Beverages,25.5,9,Wednesday
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,3.0,1,Wednesday
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,1.8,1,Monday
2235,2015-10-25,38,3,soda,0.8,Beverages,2.4000000000000004,10,Sunday
2353,2015-05-02,38,2,soda,0.8,Beverages,1.6,5,Saturday
3449,2015-03-08,19,1,sausage,3.1,Fresh Food,3.1,3,Sunday
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,5.4,11,Tuesday
1027,2015-05-17,23,1,pork,7.2,Fresh Food,7.2,5,Sunday
3302,2015-05-22,23,1,pork,7.2,Fresh Food,7.2,5,Friday
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,23.0,5,Saturday
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,6.300000000000001,8,Saturday
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,8.100000000000001,4,Saturday
1649,2015-06-30,17,2,bottled water,0.5,Beverages,1.0,6,Tuesday
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,11.0,9,Thursday
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,23.4,11,Saturday
2703,2015-05-08,25,3,canned beer,1.1,Beverages,3.3000000000000003,5,Friday
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,3.6,1,Saturday
2473,2015-07-01,57,1,meat,8.5,Fresh Food,8.5,7,Wednesday
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,5.5,12,Wednesday
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,15.6,4,Wednesday
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,7.8,5,Wednesday
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,3.0,9,Monday
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,12.3,8,Thursday
1507,2015-06-22,10,1,chicken,7.2,Fresh Food,7.2,6,Monday
2870,2015-01-21,10,3,chicken,7.2,Fresh Food,21.6,1,Wednesday
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,4,Sunday
4148,2015-04-09,25,1,canned beer,1.1,Beverages,1.1,4,Thursday
2970,2015-12-30,30,1,turkey,12.5,Fresh Food,12.5,12,Wednesday
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,8,Sunday
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,9.3,5,Saturday
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,4.5,5,Friday
3935,2015-07-02,19,2,sausage,3.1,Fresh Food,6.2,7,Thursday
3283,2015-05-01,2,1,whole milk,1.8,Dairy,1.8,5,Friday
3268,2015-11-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,11,Friday
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food,1.5,4,Thursday
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages,22.4,6,Saturday
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food,3.0,10,Sunday
2440,2015-06-06,19,3,sausage,3.1,Fresh Food,9.3,6,Saturday
4088,2015-01-13,10,2,chicken,7.2,Fresh Food,14.4,1,Tuesday
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food,12.3,9,Wednesday
4229,2015-03-06,19,3,sausage,3.1,Fresh Food,9.3,3,Friday
2728,2015-08-02,8,1,beef,19.5,Fresh Food,19.5,8,Sunday
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food,1.5,1,Sunday
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy,4.2,12,Tuesday
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets,7.2,2,Thursday
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal,6.4,1,Friday
3656,2015-03-02,8,2,beef,19.5,Fresh Food,39.0,3,Monday
3720,2015-05-28,19,2,sausage,3.1,Fresh Food,6.2,5,Thursday
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food,16.5,9,Saturday
1949,2015-07-22,25,1,canned beer,1.1,Beverages,1.1,7,Wednesday
4498,2015-02-11,50,1,bottled beer,1.8,Beverages,1.8,2,Wednesday
2447,2015-12-28,66,1,onions,1.3,Fresh Food,1.3,12,Monday
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food,7.8,3,Monday
4099,2015-01-27,17,2,bottled water,0.5,Beverages,1.0,1,Tuesday
1804,2015-03-12,8,1,beef,19.5,Fresh Food,19.5,3,Thursday
1510,2015-05-16,19,3,sausage,3.1,Fresh Food,9.3,5,Saturday
2879,2015-04-18,67,3,hair spray,5.4,Personal Care,16.200000000000003,4,Saturday
4899,2015-03-12,10,1,chicken,7.2,Fresh Food,7.2,3,Thursday
4326,2015-09-29,23,1,pork,7.2,Fresh Food,7.2,9,Tuesday
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food,5.4,5,Sunday
1117,2015-05-24,57,3,meat,8.5,Fresh Food,25.5,5,Sunday
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food,1.6,4,Friday
1178,2015-11-15,17,3,bottled water,0.5,Beverages,1.5,11,Sunday
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food,15.6,6,Thursday
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene,23.8,6,Sunday
4243,2015-04-02,19,2,sausage,3.1,Fresh Food,6.2,4,Thursday
4429,2015-07-21,40,2,grapes,9.4,Fresh Food,18.8,7,Tuesday
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food,2.5,7,Saturday
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,7,Friday
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food,23.4,4,Sunday
3006,2015-12-27,10,2,chicken,7.2,Fresh Food,14.4,12,Sunday
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food,16.5,9,Thursday
3236,2015-07-04,26,3,berries,10.8,Fresh Food,32.400000000000006,7,Saturday
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples,7.0,3,Wednesday
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food,7.8,3,Monday
4392,2015-11-28,29,2,ham,15.2,Fresh Food,30.4,11,Saturday
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food,12.3,7,Sunday
1723,2015-09-02,18,3,yogurt,2.2,Dairy,6.6000000000000005,9,Wednesday
4110,2015-03-30,38,1,soda,0.8,Beverages,0.8,3,Monday
2600,2015-01-28,18,1,yogurt,2.2,Dairy,2.2,1,Wednesday
2946,2015-10-07,38,1,soda,0.8,Beverages,0.8,10,Wednesday
2426,2015-09-08,17,3,bottled water,0.5,Beverages,1.5,9,Tuesday
